location	animal	user	sn	vtename	expdur	period	smllarthr	inasmlthr	jitter	starttyp	comment	an	start	noscnt	nosdur	smldur	smldist	lardur	lardist
OPF03	animal  3	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		0	240			49.4	345.7	2.7	101.3
OPF03	animal  3	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		2	240	0	0				
OPF03	animal  3	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		3	240	0	0				
OPF04	animal  4	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		0	240			54.9	590.6	4	147.4
OPF04	animal  4	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		2	240	5	1.1				
OPF04	animal  4	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		3	240	0	0				
OPF01	animal  1	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		0	300			51	440.3	2.7	86.1
OPF01	animal  1	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		2	300	14	2				
OPF01	animal  1	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		3	300	1	0.5				
OPF02	animal  2	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		0	300			52.5	473.3	3.6	170.6
OPF02	animal  2	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		2	300	2	0.9				
OPF02	animal  2	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		3	300	5	3.5				
OPF03	animal  3	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		0	300			53.5	541.4	4.8	193.1
OPF03	animal  3	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		2	300	1	0.6				
OPF03	animal  3	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		3	300	2	1.1				
OPF04	animal  4	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		0	300			53.4	618.6	6.3	210.3
OPF04	animal  4	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		2	300	7	2.8				
OPF04	animal  4	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		3	300	7	1.3				
OPF01	animal  1	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		0	360			56.6	587.1	1.9	62.3
OPF01	animal  1	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		2	360	16	9.5				
OPF01	animal  1	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		3	360	14	8.2				
OPF02	animal  2	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		0	360			52.1	359.9	1.1	41.3
OPF02	animal  2	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		2	360	0	0				
OPF02	animal  2	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		3	360	0	0				
OPF03	animal  3	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		0	360			52.4	420.3	2	73.2
OPF03	animal  3	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		2	360	1	0.4				
OPF03	animal  3	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_20_17_3months_BmalKO_testing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		3	360	2	3.3				
