location	animal	user	sn	vtename	expdur	period	smllarthr	inasmlthr	jitter	starttyp	comment	an	start	noscnt	nosdur	smldur	smldist	lardur	lardist
OPF03	animal  3	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_19_17_3months_BmalKO_traing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		2	360	4	0.7				
OPF03	animal  3	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_19_17_3months_BmalKO_traing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		3	360	0	0				
OPF04	animal  4	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_19_17_3months_BmalKO_traing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		0	360			56.9	650.2	2.9	85.3
OPF04	animal  4	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_19_17_3months_BmalKO_traing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		2	360	5	2.8				
OPF04	animal  4	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_19_17_3months_BmalKO_traing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		3	360	10	1.8				
OPF01	animal  1	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_19_17_3months_BmalKO_traing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		0	420			53.5	535.6	3.7	123.7
OPF01	animal  1	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_19_17_3months_BmalKO_traing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		2	420	5	1				
OPF01	animal  1	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_19_17_3months_BmalKO_traing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		3	420	2	0.4				
OPF02	animal  2	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_19_17_3months_BmalKO_traing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		0	420			53.4	406.2	2.3	86.2
OPF02	animal  2	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_19_17_3months_BmalKO_traing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		2	420	0	0				
