location	animal	user	sn	an	datatype	start	end	startreason	endreason	entct	inact	inadur	inadist	smlct	smldur	smldist	larct	lardur	lardist	stdate	sttime
OPF02	animal  2	VID\Videotrack_user	2	0	track	60	120	End of period	End of period	0	59	10.2	0	62	49.7	398.9	3	0.1	3.7	25/09/2017	14:21:27
OPF02	animal  2	VID\Videotrack_user	2	1	track	60	120	End of period	End of period	0	59	10.2	0	62	49.7	398.9	3	0.1	3.7	25/09/2017	14:21:27
OPF02	animal  2	VID\Videotrack_user	2	2	track	60	120	End of period	End of period	0	0	0	0	0	0	0	0	0	0	25/09/2017	14:21:27
OPF03	animal  3	VID\Videotrack_user	2	0	track	60	120	End of period	End of period	0	77	11.9	0	84	47.7	363.6	7	0.4	11.7	25/09/2017	14:21:27
OPF03	animal  3	VID\Videotrack_user	2	1	track	60	120	End of period	End of period	0	77	11.9	0	84	47.7	363.6	7	0.4	11.7	25/09/2017	14:21:27
OPF03	animal  3	VID\Videotrack_user	2	2	track	60	120	End of period	End of period	0	0	0	0	0	0	0	0	0	0	25/09/2017	14:21:27
OPF04	animal  4	VID\Videotrack_user	2	0	track	60	120	End of period	End of period	0	44	4	0	57	54.9	539.1	13	1.1	28.6	25/09/2017	14:21:27
OPF04	animal  4	VID\Videotrack_user	2	1	track	60	120	End of period	End of period	0	44	4	0	57	54.9	539.1	13	1.1	28.6	25/09/2017	14:21:27
OPF04	animal  4	VID\Videotrack_user	2	2	track	60	120	End of period	End of period	2	0	0	0	0	1.6	32.6	0	0	0	25/09/2017	14:21:27
OPF01	animal  1	VID\Videotrack_user	2	0	track	120	180	End of period	End of period	0	65	11.3	0	75	47.8	397.3	10	0.9	23.1	25/09/2017	14:22:27
OPF01	animal  1	VID\Videotrack_user	2	1	track	120	180	End of period	End of period	0	65	11.3	0	75	47.8	397.3	10	0.9	23.1	25/09/2017	14:22:27
OPF01	animal  1	VID\Videotrack_user	2	2	track	120	180	End of period	End of period	0	0	0	0	0	0	0	0	0	0	25/09/2017	14:22:27
OPF02	animal  2	VID\Videotrack_user	2	0	track	120	180	End of period	End of period	0	72	8.8	0	75	50.9	373.5	4	0.3	7.6	25/09/2017	14:22:27
OPF02	animal  2	VID\Videotrack_user	2	1	track	120	180	End of period	End of period	0	72	8.8	0	75	50.9	373.5	4	0.3	7.6	25/09/2017	14:22:27
OPF02	animal  2	VID\Videotrack_user	2	2	track	120	180	End of period	End of period	1	0	0	0	2	0.4	7.5	2	0.2	5.1	25/09/2017	14:22:27
OPF03	animal  3	VID\Videotrack_user	2	0	track	120	180	End of period	End of period	0	79	14.1	0	86	45.6	331.4	8	0.3	6.7	25/09/2017	14:22:27
OPF03	animal  3	VID\Videotrack_user	2	1	track	120	180	End of period	End of period	0	79	14.1	0	86	45.6	331.4	8	0.3	6.7	25/09/2017	14:22:27
OPF03	animal  3	VID\Videotrack_user	2	2	track	120	180	End of period	End of period	2	0	0	0	0	1.5	19.6	0	0	0	25/09/2017	14:22:27
OPF04	animal  4	VID\Videotrack_user	2	0	track	120	180	End of period	End of period	0	54	7.8	0	72	51.2	455.9	18	1	28.9	25/09/2017	14:22:27
OPF04	animal  4	VID\Videotrack_user	2	1	track	120	180	End of period	End of period	0	54	7.8	0	72	51.2	455.9	18	1	28.9	25/09/2017	14:22:27
OPF04	animal  4	VID\Videotrack_user	2	2	track	120	180	End of period	End of period	2	0	0	0	2	0.9	19.3	2	0.1	1.5	25/09/2017	14:22:27
OPF01	animal  1	VID\Videotrack_user	2	0	track	180	240	End of period	End of period	0	85	23	0	92	36.6	213.7	7	0.5	13.3	25/09/2017	14:23:27
OPF01	animal  1	VID\Videotrack_user	2	1	track	180	240	End of period	End of period	0	85	23	0	92	36.6	213.7	7	0.5	13.3	25/09/2017	14:23:27
OPF01	animal  1	VID\Videotrack_user	2	2	track	180	240	End of period	End of period	0	0	0	0	0	0	0	0	0	0	25/09/2017	14:23:27
OPF02	animal  2	VID\Videotrack_user	2	0	track	180	240	End of period	End of period	0	88	19	0	90	41	218.7	1	0	0.8	25/09/2017	14:23:27
OPF02	animal  2	VID\Videotrack_user	2	1	track	180	240	End of period	End of period	0	88	19	0	90	41	218.7	1	0	0.8	25/09/2017	14:23:27
OPF02	animal  2	VID\Videotrack_user	2	2	track	180	240	End of period	End of period	0	0	0	0	0	0	0	0	0	0	25/09/2017	14:23:27
OPF03	animal  3	VID\Videotrack_user	2	0	track	180	240	End of period	End of period	0	50	7.6	0	66	51.2	438.1	15	1.2	33.1	25/09/2017	14:23:27
OPF03	animal  3	VID\Videotrack_user	2	1	track	180	240	End of period	End of period	0	50	7.6	0	66	51.2	438.1	15	1.2	33.1	25/09/2017	14:23:27
OPF03	animal  3	VID\Videotrack_user	2	2	track	180	240	End of period	End of period	1	0	0	0	0	1.2	10.3	0	0	0	25/09/2017	14:23:27
OPF04	animal  4	VID\Videotrack_user	2	0	track	180	240	End of period	End of period	0	47	8.6	0	60	50.1	368.1	13	1.3	36	25/09/2017	14:23:27
OPF04	animal  4	VID\Videotrack_user	2	1	track	180	240	End of period	End of period	0	47	8.6	0	60	50.1	368.1	13	1.3	36	25/09/2017	14:23:27
OPF04	animal  4	VID\Videotrack_user	2	2	track	180	240	End of period	End of period	1	0	0	0	0	0.6	13.6	0	0	0	25/09/2017	14:23:27
OPF01	animal  1	VID\Videotrack_user	2	0	track	240	300	End of period	End of period	0	76	12	0	84	46.9	298.9	8	1.1	31.3	25/09/2017	14:24:27
OPF01	animal  1	VID\Videotrack_user	2	1	track	240	300	End of period	End of period	0	76	12	0	84	46.9	298.9	8	1.1	31.3	25/09/2017	14:24:27
OPF01	animal  1	VID\Videotrack_user	2	2	track	240	300	End of period	End of period	1	0	0	0	1	0.6	13	1	0	0.8	25/09/2017	14:24:27
OPF02	animal  2	VID\Videotrack_user	2	0	track	240	300	End of period	End of period	0	68	12.7	0	77	46.3	351.8	9	1.1	29.1	25/09/2017	14:24:27
OPF02	animal  2	VID\Videotrack_user	2	1	track	240	300	End of period	End of period	0	68	12.7	0	77	46.3	351.8	9	1.1	29.1	25/09/2017	14:24:27
OPF02	animal  2	VID\Videotrack_user	2	2	track	240	300	End of period	End of period	1	0	0	0	1	0.7	13.8	1	0.1	2.4	25/09/2017	14:24:27
